ID; Name; link  
1;[FEATURED] OYSTER — A decentralized storage ledger that generates revenue for websites.;https://oyster.ws/
2;[FEATURED] BLOCKV — A protocol for creating smart digital objects on blockchains.;http://t.blockv.io/icoalert
3;[FEATURED] HYDROMINER — An environmentally friendly cryptocurrency mining company.;https://www.hydrominer.org/
4;[FEATURED] THE AGORA — Decentralized marketplace built with Ethereum and IPFS.;https://theagora.io/
5;[FEATURED] OPPORTY — Decentralized service marketplace and knowledge-sharing platform.;https://opporty.com/ico/
6;[FEATURED] GAMEFLIP — A decentralized ecosystem for digital goods.;https://tokensale.gameflip.com/?utm_source=icoalert&utm_medium=pr&utm_campaign=featured_listing
7;[FEATURED] SMSCHAIN — A reliable interconnected framework between Telecom companies.;https://smschain.org/
8;[FEATURED] CARTAXI — The "Uber" for car towing.;https://cartaxi.io/
9;[FEATURED] MEDICALCHAIN — A blockchain for electronic health records.;https://medicalchain.com/en/
10;[FEATURED] ENJIN COIN (MAIN SALE) — A smart cryptocurrency for gaming.;https://enjincoin.io/
11;[FEATURED] TOKENSTARS ACE — The first platform to tokenize celebrities.;https://tokenstars.com/ace/?utm_medium=listing&utm_source=icoalert&utm_campaign=listing
12;[FEATURED] CRYDER — The first decentralized taxi platform for freelance drivers.;https://www.cryder.io/
13;[FEATURED] AIRTOKEN — Unlocking mobile accessibility for the underserved.;http://www.airtoken.com/
14;[FEATURED] SCIENCE BLOCKCHAIN — One of America's most successful startup incubators.;https://science.tokenhub.com/
15;[FEATURED] CAMONROAD — Worldwide, decentralized real-time video logging system.;https://ico.camonroad.com/
16;[FEATURED] GENESIS VISION — A platform for trust management market, built on blockchain and smart contracts.;https://genesis.vision/
17;[FEATURED] PRIVATIX — Internet bandwidth marketplace powered by p2p VPN network.;https://privatix.io/
18;[FEATURED] SKRILLA — A licensed, fully regulated, global eSports wagering brand.;https://tokensale.skrilla.com/
19;[FEATURED] BLOCKBID — Aiming to build an ultra-secure, highly liquid crypto exchange.;https://blockbid.com.au/
20;[FEATURED] WORLDCORE — A regulated payment institution in the Czech Republic.;https://worldcore.com/
21;[FEATURED] CRYPTO20 — A tokenized cryptocurrency index fund.;https://crypto20.com/en/
22;[FEATURED] LUCYD — An augmented reality (AR) display that looks like regular glasses.;https://lucyd.co/
23;[FEATURED] MIROCANA — A series of artificial intelligence powered investment products.;https://mirocana.com/token-sale/
24;KRYPTOPY — A crypto social network with sophisticated screening and networking.;https://www.kryptopy.com/
25;ADPERKS — Decentralized digital marketing: transparent, snonymous & rewarding.;https://adperks.io/
26;KEY’ TOKEN — A self-described, "next generation virtual currency.";http://ico.keytoken-ew.com/en/
27;ABIO COIN — A peer-to-business (P2B) lending platform.;https://abiocoin.com/en/
28;3DES — A decentralized slicing platform for more efficient 3D printing.;https://3des.network/
29;JIBREL NETWORK — A platform for digitizing and exchanging traditional assets.;https://jibrel.network/
30;GRAPHGRAIL — A blockchain based artificial intelligence platform.;http://graphgrail.com/
31;ZUVEX — A USA-based private exploration and mining company.;https://zuvuyaexploration.com/
32;SECURE IDENTITY LEDGER CORPORATION — A blockchain based identity platform.;https://www.secureidentityledger.com/
33;ASTRONAUT — An investment token offering exposure to high-growth ICOs.;https://astronaut.capital/
34;RET — A decentralized, blockchain based real estate platform.;https://retokens.com/
35;STARCOIN — A blockchain based entertainment platform.;http://www.starcoin.tv/
36;AFTERSCHOOL — A marketplace for simplified booking management and kids activities.;https://tokensale.afterschool.ae/
37;SOMA — A decentralized social marketplace. Pre-sale is live.;https://soma.co/
38;PRETTYCOIN — A blockchain based platform for discounted beauty product sales.;https://prettycoin.io/
39;EASYMINE — A software platform for managing crypto mining rigs.;https://easymine.io/
40;STREAMR — Tokenizing real time data for trade on a P2P network.;https://www.streamr.com/
41;SOLVE CARE — A blockchain based healthcare platform.;https://solvecare.io/
42;BITBASE — A cryptocurrency escrow service.;https://bitbase.io/
43;REVV COIN — A multi-concept currency platform with various mining methods.;http://www.rev-coin.biz/revv_ico_en/
44;SWARM FUND — Easily co-invest alongside the experts.;https://www.swarm.fund/
45;DOFT — A logistics platform connecting shippers and truck drivers.;https://doft.com/
46;EXHASTA — A blockchain platform for spearheading moonshot projects.;https://www.exhasta.com/
47;SAHARACHAIN — An AI-driven cryptocurrency exchange and payment gateway.;https://saharachain.com/
48;LANGPIE — An online translation platform based on blockchain tech.;https://langpie.io/
49;BUGU — A decentralized digital asset valuation platform.;https://bugu.network/
50;SNIP — The future of news on the blockchain.;https://www.snip.network/
51;PUNDIX — Enabling any physical store to sell cryptocurrencies.;https://pundix.com/
52;WYRIFY — Worldwide point of sale and mobile payments platform.;http://www.wyrify.com/
53;GALACTIKKA — Decentralized social network that rewards content creators.;http://ico.galactikka.com/
54;QUANTOPIA — A platform for investing in hedge funds.;https://www.quantopia.network/
55;CUSTOMIZABLE BASIC INCOME — A worldwide platform for targeted giving.;http://www.customizablebasicincome.com/
56;COINLOAN — Lending platform that uses cryptocurrency as collateral.;https://coinloan.io/
