ID; Name; Description; Whitepaper;FB ;Twitter; Github  
1;Advanced Pharma Intelligence;Integrated drug pricing and forecasting system incorporating a blockchain-based trading platform;https://www.biotechintel.com/wp-content/uploads/2017/08/BioNT-WhitePaper.pdf;https://www.facebook.com/AdvancedPharmaIntelligence;https://twitter.com/AdvPharmaIntel;
2;TOP;Decentralized video hosting using blockchain technology;http://toprofit.top/whitepaper.pdf;;https://twitter.com/turnonaprofit;
3;Like;Multifunctional Blockchain Real Estate Platform;http://likei.co/whitepaperen.pdf;https://web.facebook.com/likerealestatepattaya/;https://twitter.com/likeico;https://github.com/likeico/Pre-Sale/blob/master/contract/Likecoin.sol
4;Aeron;The new standard of aviation safety powered by blockchain.;https://aeron.aero/AeronWhitepaper.pdf;https://www.facebook.com/aeronpublic;https://twitter.com/aeron_aero;https://github.com/aeronaero/aeron
5;WHA Project;Healthcare Solution;https://whaproject.com/white.pdf;https://www.facebook.com/thewhaproject/;https://twitter.com/ProjectWha;
6;CHEX;Modular Marketplace Supernetwork;https://tokensale.thechex.com/docs/CHEX-White-Paper.pdf;https://www.facebook.com/Cannabis-Hemp-Exchange-925337724193637/?ref=hl;;
7;Handelion;International Trading Ecosystem;https://drive.google.com/file/d/0B_tnZ24MOfVmVmZKY2ZVbndvcHc/view;http://www.facebook.com/handelion.io;;
8;Gene Blockchain;Gene Blockchain Platform;https://www.geneblockchain.org/download-view/whitepaper_in_english/;https://www.facebook.com/gene.blockchain.1;https://twitter.com/Gene_Blockchain;
9;3DES;Decentralized slicer for 3D printing industry;https://3des.network/static/documents/en/whitepaper.pdf?id=7792369c6ff26429957a2457cfd9ff49;https://www.facebook.com/3des.network/;https://twitter.com/3DesProject;
10;Jibrel Network;Network provides traditional financial assets as standard Ethereum tokens;https://github.com/jibrelnetwork/white_paper/raw/master/Jibrel%20Network%20-%20White%20Paper%20(2nd%20Draft).pdf;;https://twitter.com/JibrelNetwork;https://github.com/jibrelnetwork
11;CoinLoan;Platform for loans secured by cryptoassets;https://d22bh5hhp3xpt1.cloudfront.net/CoinLoan_WhitePaper_v0.1.pdf;https://www.facebook.com/coinloan.io;https://twitter.com/coin_loan;
12;KeY Token;Blockchain-based Smartbank;http://ico.keytoken-ew.com/en/pdf/white-paper-for-key-token-ver-1_7_en.pdf;;;
13;ABIO Coin;Blockchain-based investment instrument backed by functioning business;https://abiocoin.com/docs/Whitepaper_eng.pdf;https://www.facebook.com/ABIO-Coin-1949123271970301/;https://twitter.com/AbioCoin;
14;Bookira;Blockchain-based Online Booking Service;https://www.bookira.io/The_White_Paper_bookira.pdf;https://www.facebook.com/Bookiraproject/;https://twitter.com/ProjectBookira;https://github.com/bookira?tab=repositories
15;Astronaut;Platform for investing in ICOs;https://astronaut.docsend.com/view/p4iazfu;https://www.facebook.com/astronautcap/;https://twitter.com/astronautcap;
16;Secure Identity Ledger;Blockchain Distributed Ledger Technology;https://s3.amazonaws.com/silc/EnglishSILCWhitePaper.pdf;https://www.facebook.com/secureidentityledger/;https://twitter.com/SILC_DI;
17;AION;The Third Generation Blockchain Network;https://aion.network/downloads/aion.network_technical-introduction_en.pdf;https://www.facebook.com/AionBlockchain/;https://twitter.com/Aion_Network;https://github.com/gonuco/aion.erc.contract
18;Chimaera;Blockchain-based Gaming Platform;https://chimaera.io/downloads/Chimaera_White_Paper.pdf;https://www.facebook.com/chimaeratech/;https://twitter.com/chimaera_tech;
19;Soma;An incentivized blockchain-based social marketplace;https://soma.co/wp-content/uploads/2017/07/SOMA-whitepaper_v.2.1.pdf;https://www.facebook.com/socialmarketapp/;https://twitter.com/SomaToken;https://github.com/Soma-co
20;ClearPoll;Blockchain-based Social Public Opinion Polls;https://www.clearpoll.io/downloads/ClearPoll-Whitepaper.pdf;http://www.facebook.com/voteclearpoll;http://www.twitter.com/voteclearpoll;
21;Afterschool;2 sided blockchain-base marketplace to helps parents find and book the best kids activities.;https://tokensale.afterschool.ae/wp-content/uploads/2017/09/afterschool-ico.pdf;https://www.facebook.com/pages/Afterschool/421197504639234;https://twitter.com/afterschoolAE;
